entity_id,state,last_changed
sensor.ebusd_700_z2roomtemp,21.375,2026-02-02T06:38:08.728Z
sensor.ebusd_700_z2roomtemp,21.3125,2026-02-02T07:28:33.571Z
sensor.ebusd_700_z2roomtemp,21.25,2026-02-02T08:18:58.769Z
sensor.ebusd_700_z2roomtemp,21.3125,2026-02-02T09:09:24.531Z
sensor.ebusd_700_z2roomtemp,21.375,2026-02-02T09:34:34.538Z
sensor.ebusd_700_z2roomtemp,21.4375,2026-02-02T11:15:19.501Z
sensor.ebusd_700_z2roomtemp,21.5,2026-02-02T11:40:34.601Z
sensor.ebusd_700_z2roomtemp,21.5625,2026-02-02T12:30:59.884Z
sensor.ebusd_700_z2roomtemp,21.6875,2026-02-02T13:46:35.627Z
sensor.ebusd_700_z2roomtemp,21.625,2026-02-02T14:11:45.676Z
sensor.ebusd_700_z2roomtemp,21.5625,2026-02-02T15:27:20.538Z
sensor.ebusd_700_z2roomtemp,21.5,2026-02-02T16:17:45.695Z
sensor.ebusd_700_z2roomtemp,21.4375,2026-02-02T16:42:55.709Z
sensor.ebusd_700_z2roomtemp,21.375,2026-02-02T17:08:10.852Z
sensor.ebusd_700_z2roomtemp,21.3125,2026-02-02T18:23:45.664Z
sensor.ebusd_700_z2roomtemp,21.25,2026-02-02T19:39:21.573Z
sensor.ebusd_700_displayedoutsidetemp,2.75,2026-01-28T23:00:00.000Z
sensor.ebusd_700_displayedoutsidetemp,2.5625,2026-01-28T23:05:38.725Z
sensor.ebusd_700_displayedoutsidetemp,2.3125,2026-01-28T23:56:03.929Z
sensor.ebusd_700_displayedoutsidetemp,2.0625,2026-01-29T00:21:13.675Z
sensor.ebusd_700_displayedoutsidetemp,1.8125,2026-01-29T01:36:53.847Z
sensor.ebusd_700_displayedoutsidetemp,1.5625,2026-01-29T03:42:49.821Z
sensor.ebusd_700_displayedoutsidetemp,1.3125,2026-01-29T04:33:14.668Z
sensor.ebusd_700_displayedoutsidetemp,1.0625,2026-01-29T06:39:15.688Z
sensor.ebusd_700_displayedoutsidetemp,1.3125,2026-01-29T08:45:15.670Z
sensor.ebusd_700_displayedoutsidetemp,1.5625,2026-01-29T10:00:51.868Z
sensor.ebusd_700_displayedoutsidetemp,1.8125,2026-01-29T10:51:16.720Z
sensor.ebusd_700_displayedoutsidetemp,2.0625,2026-01-29T12:06:50.893Z
sensor.ebusd_700_displayedoutsidetemp,2.3125,2026-01-29T13:22:26.791Z
sensor.ebusd_700_displayedoutsidetemp,2.0625,2026-01-29T15:03:16.757Z
sensor.ebusd_700_displayedoutsidetemp,1.8125,2026-01-29T16:18:51.970Z
sensor.ebusd_700_displayedoutsidetemp,1.5625,2026-01-29T16:44:02.026Z
sensor.ebusd_700_displayedoutsidetemp,1.3125,2026-01-29T17:59:41.889Z
sensor.ebusd_700_displayedoutsidetemp,1.0625,2026-01-29T23:52:28.889Z
sensor.ebusd_700_displayedoutsidetemp,1.3125,2026-01-30T00:17:39.030Z
sensor.ebusd_700_displayedoutsidetemp,1.5625,2026-01-30T02:23:38.968Z
sensor.ebusd_700_displayedoutsidetemp,1.0625,2026-01-30T04:04:28.965Z
sensor.ebusd_700_displayedoutsidetemp,0.8125,2026-01-30T05:20:04.093Z
sensor.ebusd_700_displayedoutsidetemp,0.375,2026-01-30T05:45:14.871Z
sensor.ebusd_700_displayedoutsidetemp,0.125,2026-01-30T06:10:29.932Z
sensor.ebusd_700_displayedoutsidetemp,0.375,2026-01-30T08:16:29.961Z
sensor.ebusd_700_displayedoutsidetemp,1.0625,2026-01-30T08:41:40.047Z
sensor.ebusd_700_displayedoutsidetemp,1.5625,2026-01-30T09:06:50.104Z
sensor.ebusd_700_displayedoutsidetemp,2.3125,2026-01-30T09:32:05.069Z
sensor.ebusd_700_displayedoutsidetemp,3.25,2026-01-30T09:57:15.911Z
sensor.ebusd_700_displayedoutsidetemp,4,2026-01-30T10:47:40.917Z
sensor.ebusd_700_displayedoutsidetemp,4.9375,2026-01-30T11:12:51.127Z
sensor.ebusd_700_displayedoutsidetemp,5.375,2026-01-30T11:38:06.221Z
sensor.ebusd_700_displayedoutsidetemp,5.8125,2026-01-30T12:28:25.984Z
sensor.ebusd_700_displayedoutsidetemp,5.5625,2026-01-30T12:53:41.043Z
sensor.ebusd_700_displayedoutsidetemp,5.8125,2026-01-30T13:18:51.053Z
sensor.ebusd_700_displayedoutsidetemp,6.25,2026-01-30T14:09:15.943Z
sensor.ebusd_700_displayedoutsidetemp,6.625,2026-01-30T14:34:26.956Z
sensor.ebusd_700_displayedoutsidetemp,6.25,2026-01-30T16:40:27.009Z
sensor.ebusd_700_displayedoutsidetemp,6,2026-01-30T17:05:42.073Z
sensor.ebusd_700_displayedoutsidetemp,5.8125,2026-01-30T17:30:52.086Z
sensor.ebusd_700_displayedoutsidetemp,5.375,2026-01-30T20:27:17.999Z
sensor.ebusd_700_displayedoutsidetemp,5.125,2026-01-30T20:52:28.046Z
sensor.ebusd_700_displayedoutsidetemp,5.375,2026-01-30T21:17:38.066Z
sensor.ebusd_700_displayedoutsidetemp,5.5625,2026-01-30T22:08:03.224Z
sensor.ebusd_700_displayedoutsidetemp,5.8125,2026-01-30T23:23:38.120Z
sensor.ebusd_700_displayedoutsidetemp,6,2026-01-31T02:45:13.316Z
sensor.ebusd_700_displayedoutsidetemp,6.25,2026-01-31T04:26:05.214Z
sensor.ebusd_700_displayedoutsidetemp,6.4375,2026-01-31T05:16:29.070Z
sensor.ebusd_700_displayedoutsidetemp,6.625,2026-01-31T06:06:54.275Z
sensor.ebusd_700_displayedoutsidetemp,7.0625,2026-01-31T08:38:05.346Z
sensor.ebusd_700_displayedoutsidetemp,7.3125,2026-01-31T09:03:15.097Z
sensor.ebusd_700_displayedoutsidetemp,7.75,2026-01-31T09:28:30.195Z
sensor.ebusd_700_displayedoutsidetemp,8.8125,2026-01-31T09:53:40.209Z
sensor.ebusd_700_displayedoutsidetemp,9.6875,2026-01-31T10:18:50.303Z
sensor.ebusd_700_displayedoutsidetemp,10.75,2026-01-31T10:44:05.326Z
sensor.ebusd_700_displayedoutsidetemp,10.9375,2026-01-31T11:09:15.113Z
sensor.ebusd_700_displayedoutsidetemp,9.875,2026-01-31T11:34:30.128Z
sensor.ebusd_700_displayedoutsidetemp,10.0625,2026-01-31T11:59:41.228Z
sensor.ebusd_700_displayedoutsidetemp,10.9375,2026-01-31T12:24:50.284Z
sensor.ebusd_700_displayedoutsidetemp,11.1875,2026-01-31T12:50:05.345Z
sensor.ebusd_700_displayedoutsidetemp,11.375,2026-01-31T13:15:16.132Z
sensor.ebusd_700_displayedoutsidetemp,10.9375,2026-01-31T14:05:41.280Z
sensor.ebusd_700_displayedoutsidetemp,10.75,2026-01-31T14:30:51.138Z
sensor.ebusd_700_displayedoutsidetemp,10.5,2026-01-31T15:46:26.157Z
sensor.ebusd_700_displayedoutsidetemp,10.3125,2026-01-31T16:11:41.254Z
sensor.ebusd_700_displayedoutsidetemp,9.4375,2026-01-31T16:36:51.316Z
sensor.ebusd_700_displayedoutsidetemp,9,2026-01-31T17:02:06.380Z
sensor.ebusd_700_displayedoutsidetemp,8.8125,2026-01-31T17:27:16.160Z
sensor.ebusd_700_displayedoutsidetemp,8.125,2026-01-31T17:52:26.173Z
sensor.ebusd_700_displayedoutsidetemp,8.375,2026-01-31T18:17:41.276Z
sensor.ebusd_700_displayedoutsidetemp,7.75,2026-01-31T19:08:01.348Z
sensor.ebusd_700_displayedoutsidetemp,7.0625,2026-01-31T19:33:17.178Z
sensor.ebusd_700_displayedoutsidetemp,6.4375,2026-01-31T19:58:27.206Z
sensor.ebusd_700_displayedoutsidetemp,6,2026-01-31T20:23:42.272Z
sensor.ebusd_700_displayedoutsidetemp,5.5625,2026-01-31T20:48:52.332Z
sensor.ebusd_700_displayedoutsidetemp,5.125,2026-01-31T21:14:02.431Z
sensor.ebusd_700_displayedoutsidetemp,4.6875,2026-01-31T21:39:17.174Z
sensor.ebusd_700_displayedoutsidetemp,4.5,2026-01-31T22:04:27.184Z
sensor.ebusd_700_displayedoutsidetemp,4.25,2026-01-31T22:29:37.281Z
sensor.ebusd_700_displayedoutsidetemp,3.75,2026-01-31T22:54:53.423Z
sensor.ebusd_700_displayedoutsidetemp,4,2026-01-31T23:20:02.367Z
sensor.ebusd_700_displayedoutsidetemp,3.75,2026-01-31T23:45:18.188Z
sensor.ebusd_700_displayedoutsidetemp,4,2026-02-01T00:10:28.240Z
sensor.ebusd_700_displayedoutsidetemp,3.5,2026-02-01T01:00:53.399Z
sensor.ebusd_700_displayedoutsidetemp,3.25,2026-02-01T01:26:03.534Z
sensor.ebusd_700_displayedoutsidetemp,2.75,2026-02-01T01:51:18.205Z
sensor.ebusd_700_displayedoutsidetemp,3,2026-02-01T02:16:29.218Z
sensor.ebusd_700_displayedoutsidetemp,3.5,2026-02-01T02:41:38.311Z
sensor.ebusd_700_displayedoutsidetemp,3.75,2026-02-01T03:06:53.372Z
sensor.ebusd_700_displayedoutsidetemp,4,2026-02-01T03:32:03.595Z
sensor.ebusd_700_displayedoutsidetemp,4.25,2026-02-01T04:22:28.274Z
sensor.ebusd_700_displayedoutsidetemp,3.75,2026-02-01T05:38:03.486Z
sensor.ebusd_700_displayedoutsidetemp,3.5,2026-02-01T06:03:13.541Z
sensor.ebusd_700_displayedoutsidetemp,4,2026-02-01T06:28:29.289Z
sensor.ebusd_700_displayedoutsidetemp,4.25,2026-02-01T06:53:39.343Z
sensor.ebusd_700_displayedoutsidetemp,4.5,2026-02-01T07:18:54.408Z
sensor.ebusd_700_displayedoutsidetemp,4.6875,2026-02-01T08:09:14.251Z
sensor.ebusd_700_displayedoutsidetemp,5.125,2026-02-01T08:34:29.306Z
sensor.ebusd_700_displayedoutsidetemp,5.5625,2026-02-01T08:59:39.308Z
sensor.ebusd_700_displayedoutsidetemp,6,2026-02-01T09:24:49.261Z
sensor.ebusd_700_displayedoutsidetemp,6.4375,2026-02-01T09:50:05.522Z
sensor.ebusd_700_displayedoutsidetemp,7.0625,2026-02-01T10:15:15.267Z
sensor.ebusd_700_displayedoutsidetemp,7.75,2026-02-01T10:40:30.366Z
sensor.ebusd_700_displayedoutsidetemp,8.125,2026-02-01T11:05:40.422Z
sensor.ebusd_700_displayedoutsidetemp,8.5625,2026-02-01T11:30:50.438Z
sensor.ebusd_700_displayedoutsidetemp,8.8125,2026-02-01T11:56:05.537Z
sensor.ebusd_700_displayedoutsidetemp,9.25,2026-02-01T12:21:15.281Z
sensor.ebusd_700_displayedoutsidetemp,9.4375,2026-02-01T12:46:30.339Z
sensor.ebusd_700_displayedoutsidetemp,9.6875,2026-02-01T13:11:41.399Z
sensor.ebusd_700_displayedoutsidetemp,9.875,2026-02-01T14:27:15.297Z
sensor.ebusd_700_displayedoutsidetemp,9.6875,2026-02-01T15:42:50.504Z
sensor.ebusd_700_displayedoutsidetemp,9,2026-02-01T16:08:05.573Z
sensor.ebusd_700_displayedoutsidetemp,8.8125,2026-02-01T16:33:17.358Z
sensor.ebusd_700_displayedoutsidetemp,8.5625,2026-02-01T17:23:41.425Z
sensor.ebusd_700_displayedoutsidetemp,7.9375,2026-02-01T17:48:51.481Z
sensor.ebusd_700_displayedoutsidetemp,7.75,2026-02-01T19:54:51.571Z
sensor.ebusd_700_displayedoutsidetemp,7.5,2026-02-01T21:10:27.442Z
sensor.ebusd_700_displayedoutsidetemp,7.3125,2026-02-01T21:35:42.464Z
sensor.ebusd_700_displayedoutsidetemp,7.0625,2026-02-01T22:00:52.517Z
sensor.ebusd_700_displayedoutsidetemp,6.875,2026-02-01T22:26:02.645Z
sensor.ebusd_700_displayedoutsidetemp,6.625,2026-02-01T23:41:42.481Z
sensor.ebusd_700_displayedoutsidetemp,6.4375,2026-02-02T00:06:53.577Z
sensor.ebusd_700_displayedoutsidetemp,6.25,2026-02-02T00:57:17.424Z
sensor.ebusd_700_displayedoutsidetemp,6,2026-02-02T01:22:27.474Z
sensor.ebusd_700_displayedoutsidetemp,5.8125,2026-02-02T03:03:18.441Z
sensor.ebusd_700_displayedoutsidetemp,5.5625,2026-02-02T03:53:38.444Z
sensor.ebusd_700_displayedoutsidetemp,5.375,2026-02-02T05:34:28.470Z
sensor.ebusd_700_displayedoutsidetemp,5.5625,2026-02-02T07:40:29.487Z
sensor.ebusd_700_displayedoutsidetemp,5.8125,2026-02-02T08:56:04.739Z
sensor.ebusd_700_displayedoutsidetemp,6.25,2026-02-02T09:46:29.543Z
sensor.ebusd_700_displayedoutsidetemp,6.625,2026-02-02T10:11:39.559Z
sensor.ebusd_700_displayedoutsidetemp,6.875,2026-02-02T11:02:05.759Z
sensor.ebusd_700_displayedoutsidetemp,7.3125,2026-02-02T11:27:14.502Z
sensor.ebusd_700_displayedoutsidetemp,7.5,2026-02-02T11:52:29.598Z
sensor.ebusd_700_displayedoutsidetemp,7.9375,2026-02-02T12:42:49.570Z
sensor.ebusd_700_displayedoutsidetemp,8.125,2026-02-02T13:08:05.518Z
sensor.ebusd_700_displayedoutsidetemp,7.9375,2026-02-02T13:33:15.527Z
sensor.ebusd_700_displayedoutsidetemp,8.125,2026-02-02T14:23:41.650Z
sensor.ebusd_700_displayedoutsidetemp,7.9375,2026-02-02T15:14:06.791Z
sensor.ebusd_700_displayedoutsidetemp,7.5,2026-02-02T15:39:15.537Z
sensor.ebusd_700_displayedoutsidetemp,7.3125,2026-02-02T16:04:25.548Z
sensor.ebusd_700_displayedoutsidetemp,7.0625,2026-02-02T16:54:50.703Z
sensor.ebusd_700_displayedoutsidetemp,6.875,2026-02-02T17:45:15.553Z
sensor.ebusd_700_displayedoutsidetemp,6.4375,2026-02-02T18:10:25.604Z
sensor.ebusd_700_displayedoutsidetemp,5.8125,2026-02-02T18:35:40.631Z
sensor.ebusd_700_displayedoutsidetemp,5.5625,2026-02-02T19:00:50.684Z
sensor.ebusd_700_displayedoutsidetemp,5.375,2026-02-02T19:26:06.952Z
sensor.ebusd_700_displayedoutsidetemp,5.125,2026-02-02T19:51:16.544Z
sensor.ebusd_700_displayedoutsidetemp,4.6875,2026-02-02T20:16:26.597Z
sensor.ebusd_700_hc2pumpstatus_2,1,2026-01-28T23:00:00.000Z
sensor.ebusd_700_hc2pumpstatus_2,0,2026-01-29T05:00:35.771Z
sensor.ebusd_700_hc2pumpstatus_2,1,2026-01-29T09:37:45.847Z
sensor.ebusd_700_hc2pumpstatus_2,0,2026-01-29T12:59:21.743Z
sensor.ebusd_700_hc2pumpstatus_2,1,2026-01-29T13:24:35.884Z
sensor.ebusd_700_hc2pumpstatus_2,0,2026-01-29T16:20:56.976Z
sensor.ebusd_700_hc2pumpstatus_2,1,2026-01-29T21:23:23.824Z
sensor.ebusd_700_hc2pumpstatus_2,0,2026-01-29T21:48:32.877Z
sensor.ebusd_700_hc2pumpstatus_2,1,2026-01-29T22:13:47.981Z
sensor.ebusd_700_hc2pumpstatus_2,0,2026-01-30T04:56:58.973Z
